url,title,subTitle,productInfoMediaDetails,description,relatedProduct1,relatedProduct2,onDemand,rent,price,director,publisher
https://market.beta.formed.org/catalog/product/view/id/276/s/the-story-of-the-nativity/,The Story of the Nativity,The Truth of Christmas,Movie - 59 mins,"
        ,
  
        ,
  ,The story of the birth of Jesus is often misunderstood. But this fast-paced, thought-provoking look at the true story of the Nativity clears away widespread misunderstandings of Jesus’s origin. Join top scholars, inspirational speakers, and popular authors as they explain the story behind the story of the birth of Jesus. , also includes stunning works of art depicting the biblical story, from Fra Angelico to Rembrandt, and footage from the Holy Land showing the places where the Christmas story actually took place. Explore the true story of Mary and Joseph, Jesus’s miraculous conception, the birth of John the Baptist, the journey of Mary and Joseph to Bethlehem, the Star of Bethlehem, and the birth of Jesus. This is an invaluable tool for believer and unbeliever alike to learn more about Jesus of Nazareth and about the truth of Christmas.,The story of the birth of Jesus is often misunderstood. But this fast-paced, thought-provoking look at the true story of the Nativity clears away widespread misunderstandings of Jesus’s origin. Join top scholars, inspirational speakers, and popular authors as they explain the story behind the story of the birth of Jesus. , also includes stunning works of art depicting the biblical story, from Fra Angelico to Rembrandt, and footage from the Holy Land showing the places where the Christmas story actually took place. Explore the true story of Mary and Joseph, Jesus’s miraculous conception, the birth of John the Baptist, the journey of Mary and Joseph to Bethlehem, the Star of Bethlehem, and the birth of Jesus. This is an invaluable tool for believer and unbeliever alike to learn more about Jesus of Nazareth and about the truth of Christmas.","
                            Joseph of Nazareth","
                            Mary of Nazareth",Available ON DEMAND,Rent: $3.99,Purchase: $11.99,"
      Publisher: Ignatius Press",    
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/290/s/lourdes/,Lourdes,"A Story of Faith, Science, and Miracles",Movie -  3 hrs  4 mins,"
        ,
  
        ,
  ,Bernard Guillaumet, a non-Christian French journalist, is assigned the job of doing a story on Lourdes in the late 1990s. Just before he leaves for Lourdes, Bernard learns that his wife is pregnant. However, he is not told that this pregnancy could put her life at risk--and that doctors are suggesting an abortion.,Bernard Guillaumet, a non-Christian French journalist, is assigned the job of doing a story on Lourdes in the late 1990s. Just before he leaves for Lourdes, Bernard learns that his wife is pregnant. However, he is not told that this pregnancy could put her life at risk--and that doctors are suggesting an abortion.,While researching for his report on Lourdes, Bernard comes across the pages of an old family manuscript.,The manuscript was written by his ancestor, Henri Guillaumet, a positivist scientist and nonbeliever who met Bernadette at Lourdes in 1858, a meeting which profoundly affected Henri and forced him to reconsider the miracles performed following the apparitions of the Madonna of Lourdes. One of the most important miracles H. Giullaumet had to reconsider was the healing of his wife Claire, who had been on her death bed as a result of tuberculosis, and was completely restored by the miraculous waters of the grotto in which Bernadette saw Our Lady.,This intriguing film uses the pages of the manuscript to trace the stories of three lives—Bernadette, Henry, and Bernard—three characters whose lives intertwine as they pursue parallel journeys according to the designs of Providence. Directed by Lodovico Gasparini (St. John Bosco, Don Matteo), stars Alessandro Gassman, Angele Osinski, and Sydne Rome, and written by Vittorio Messori (The Ratzinger Report).","
                            Bernadette","
                            Finding Fatima",Available ON DEMAND,Rent: $4.99,Purchase: $11.99,"
      Director: Lodovico Gasparini",Publisher: Ignatius Press
,,,,,,,,,,,
https://market.beta.formed.org/catalog/product/view/id/512/s/vd-crossingthegoaljesussaidthekin-en/,"Crossing the Goal:  Jesus said, ""The Kingdom""",,Movie - 25 mins,"
        ,
  
        ,
  ,The world we inhabit is divided into the Kingdom of God and the opposition. The mission of God’s Kingdom and his Church is to plant the Kingdom’s flag in the heart of every single human being. The men of , continue to help us to understand Jesus’s optic as King of this world which is overrun by enemy territory. Are we helping Christ to establish his Kingdom on earth?,The world we inhabit is divided into the Kingdom of God and the opposition. The mission of God’s Kingdom and his Church is to plant the Kingdom’s flag in the heart of every single human being. The men of , continue to help us to understand Jesus’s optic as King of this world which is overrun by enemy territory. Are we helping Christ to establish his Kingdom on earth?","
                            Crossing the Goal:  Jesus said, ""Do you Love Me?""","
                            Crossing the Goal:  Jesus said, ""The Narrow Way""",,Rent: $2.99,Purchase: $4.99,"
      Publisher: EWTN",    
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch/feature-films/test-category.html?publisher=67,,,,,,,"
    ,

    ,
",,,,
,,,,,,,,,,,
https://market.beta.formed.org/shop-products/watch.html?publisher=76%2C81,,,,,,,,,,,
,,,,,,,,,,,
